순위,국가,2021(추정치),2020(추정치),2019,2018,2017
1,미국,4872.753754871999,4584.186271352,4373.960927028,4218.558156723,4026.4392230599997
2,중국,1402.7549312328833,1205.6259501482434,1116.7359301793467,1050.7082059090085,928.5813860093505
3,일본,849.4928475704473,796.8541456126616,757.7485527489865,724.7482675744876,686.9823309945693
4,독일,697.6082973825,615.0512429918073,567.1463355212868,571.2052102427759,523.1122941507944
5,프랑스,452.2401834475,408.35744673729397,386.50585367695754,399.1173863843844,374.9602595401776
6,영국,415.849412675342,375.6423397979732,351.19610719767877,349.4744505872219,326.5138974839124
7,이탈리아,268.977526455,241.5767227104906,230.6989361838796,237.5274068572751,224.93508887636568
8,캐나다,246.19833227696154,235.04957478808328,226.13894695921707,222.98800109036952,216.30947784189752
9,브라질,215.4851205230765,203.87621175046496,243.4004267608057,243.84544806201708,255.7920072632691
10,대한민국,202.88465933530256,171.77991892532347,164.74181222555467,164.37443298512153,152.42610202020234
11,스페인,196.48239100375002,178.46498860518648,166.0507329235378,168.9034351462158,155.18389205003876
12,호주,195.23286180127747,171.83937557694455,160.04252651368222,160.51647048156718,153.13120156345718
13,인도,185.2122476620906,164.85941187762256,154.24347200929856,140.82039925371066,130.0710023910653
14,러시아,125.75919078055395,116.51024060937038,123.35829407662303,118.73830169361352,119.87300751833985
15,스위스,125.109939616642,116.61583276374692,104.4758029732844,102.1708499541846,97.78177007413424
16,네덜란드,122.48916527749999,109.05180386184782,102.66429095952448,105.54769944390853,98.55808880874557
17,멕시코,99.69933293743956,90.6290253037183,96.095989229882,92.65739212683707,88.06943475396922
18,벨기에,75.758776465,69.998652682931,64.54493843785394,65.57424942809557,61.01096754536228
19,오스트리아,73.57165856125,65.71985324828917,61.203497130277306,62.377064809948806,57.719219321537224
20,인도네시아,73.15458418186526,0,54.437931372487,48.81021712553252,45.85009585220929
